id,transactionDate,currency,isArchived,isDeleted,updatedAt,createdAt,customer,company
0,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,47,0
12860,2017-01-01,USD,False,False,2017-01-01,2017-01-01,26,5
12861,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,23,5
20638,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,9,8
23224,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,32,9
23225,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,8,9
2556,2017-01-01,USD,False,False,2017-01-01,2017-01-01,2,1
2557,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,29,1
2558,2017-01-01,USD,False,False,2017-01-01,2017-01-01,28,1
2560,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,24,1
12859,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,33,5
7680,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,21,3
15453,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,41,6
15454,2017-01-01,USD,False,False,2017-01-01,2017-01-01,10,6
15455,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,10,6
15456,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,27,6
15457,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,3,6
5128,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,1,2
18027,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,41,7
18028,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,20,7
18029,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,2,7
7679,2017-01-01,USD,False,False,2017-01-01,2017-01-01,44,3
10232,2017-01-01,USD,False,False,2017-01-01,2017-01-01,0,4
2559,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,41,1
1,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,44,0
4,2017-01-01,EUR,False,False,2017-01-01,2017-01-01,15,0
3,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,1,0
2,2017-01-01,AUD,False,False,2017-01-01,2017-01-01,41,0
20640,2017-01-02,USD,False,False,2017-01-02,2017-01-02,12,8
20641,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,38,8
20642,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,39,8
2563,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,34,1
2564,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,2,1
7681,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,17,3
7683,2017-01-02,USD,False,False,2017-01-02,2017-01-02,44,3
20639,2017-01-02,USD,False,False,2017-01-02,2017-01-02,7,8
15460,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,1,6
2562,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,19,1
15459,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,46,6
12862,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,35,5
2561,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,9,1
10233,2017-01-02,USD,False,False,2017-01-02,2017-01-02,22,4
10234,2017-01-02,USD,False,False,2017-01-02,2017-01-02,26,4
10235,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,39,4
10236,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,3,4
15461,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,1,6
15462,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,22,6
7684,2017-01-02,USD,False,False,2017-01-02,2017-01-02,28,3
23226,2017-01-02,USD,False,False,2017-01-02,2017-01-02,23,9
7682,2017-01-02,USD,False,False,2017-01-02,2017-01-02,30,3
18032,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,27,7
15458,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,33,6
5132,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,13,2
5131,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,45,2
5130,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,23,2
5129,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,47,2
18031,2017-01-02,AUD,False,False,2017-01-02,2017-01-02,28,7
5,2017-01-02,USD,False,False,2017-01-02,2017-01-02,7,0
18030,2017-01-02,EUR,False,False,2017-01-02,2017-01-02,38,7
5134,2017-01-03,USD,False,False,2017-01-03,2017-01-03,6,2
20646,2017-01-03,AUD,False,False,2017-01-03,2017-01-03,46,8
20645,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,42,8
20644,2017-01-03,AUD,False,False,2017-01-03,2017-01-03,6,8
12864,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,18,5
23227,2017-01-03,USD,False,False,2017-01-03,2017-01-03,23,9
18034,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,7,7
23228,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,29,9
23229,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,13,9
23230,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,5,9
23231,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,4,9
12863,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,45,5
18033,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,28,7
15464,2017-01-03,AUD,False,False,2017-01-03,2017-01-03,37,6
10237,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,48,4
15465,2017-01-03,USD,False,False,2017-01-03,2017-01-03,2,6
2566,2017-01-03,USD,False,False,2017-01-03,2017-01-03,8,1
2565,2017-01-03,AUD,False,False,2017-01-03,2017-01-03,47,1
7686,2017-01-03,USD,False,False,2017-01-03,2017-01-03,39,3
7685,2017-01-03,AUD,False,False,2017-01-03,2017-01-03,2,3
6,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,15,0
7,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,34,0
8,2017-01-03,USD,False,False,2017-01-03,2017-01-03,36,0
20643,2017-01-03,EUR,False,False,2017-01-03,2017-01-03,18,8
5133,2017-01-03,USD,False,False,2017-01-03,2017-01-03,37,2
15463,2017-01-03,USD,False,False,2017-01-03,2017-01-03,6,6
23232,2017-01-04,USD,False,False,2017-01-04,2017-01-04,3,9
10240,2017-01-04,USD,False,False,2017-01-04,2017-01-04,48,4
10239,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,44,4
12866,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,24,5
12865,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,46,5
12867,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,33,5
23236,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,23,9
23235,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,38,9
2567,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,7,1
10241,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,7,4
10238,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,37,4
23233,2017-01-04,USD,False,False,2017-01-04,2017-01-04,48,9
23234,2017-01-04,USD,False,False,2017-01-04,2017-01-04,23,9
15468,2017-01-04,AUD,False,False,2017-01-04,2017-01-04,14,6
7689,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,26,3
7688,2017-01-04,USD,False,False,2017-01-04,2017-01-04,26,3
20647,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,43,8
9,2017-01-04,USD,False,False,2017-01-04,2017-01-04,46,0
10,2017-01-04,USD,False,False,2017-01-04,2017-01-04,26,0
5135,2017-01-04,USD,False,False,2017-01-04,2017-01-04,6,2
18035,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,29,7
15467,2017-01-04,USD,False,False,2017-01-04,2017-01-04,35,6
15466,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,1,6
7687,2017-01-04,EUR,False,False,2017-01-04,2017-01-04,21,3
11,2017-01-05,USD,False,False,2017-01-05,2017-01-05,24,0
7690,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,34,3
15469,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,25,6
2568,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,13,1
2569,2017-01-05,USD,False,False,2017-01-05,2017-01-05,20,1
12868,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,36,5
20648,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,44,8
23238,2017-01-05,USD,False,False,2017-01-05,2017-01-05,16,9
23237,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,14,9
2570,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,25,1
20649,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,44,8
2571,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,35,1
7691,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,22,3
10243,2017-01-05,USD,False,False,2017-01-05,2017-01-05,44,4
12,2017-01-05,USD,False,False,2017-01-05,2017-01-05,48,0
7692,2017-01-05,USD,False,False,2017-01-05,2017-01-05,21,3
18038,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,3,7
18037,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,22,7
18036,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,1,7
10246,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,37,4
5136,2017-01-05,EUR,False,False,2017-01-05,2017-01-05,5,2
10242,2017-01-05,USD,False,False,2017-01-05,2017-01-05,38,4
13,2017-01-05,USD,False,False,2017-01-05,2017-01-05,8,0
10244,2017-01-05,AUD,False,False,2017-01-05,2017-01-05,13,4
10245,2017-01-05,USD,False,False,2017-01-05,2017-01-05,1,4
18039,2017-01-06,USD,False,False,2017-01-06,2017-01-06,1,7
20653,2017-01-06,USD,False,False,2017-01-06,2017-01-06,27,8
5138,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,45,2
16,2017-01-06,USD,False,False,2017-01-06,2017-01-06,0,0
5140,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,13,2
5139,2017-01-06,EUR,False,False,2017-01-06,2017-01-06,7,2
17,2017-01-06,USD,False,False,2017-01-06,2017-01-06,13,0
18,2017-01-06,USD,False,False,2017-01-06,2017-01-06,10,0
5137,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,18,2
20654,2017-01-06,USD,False,False,2017-01-06,2017-01-06,23,8
2572,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,38,1
15470,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,17,6
2574,2017-01-06,AUD,False,False,2017-01-06,2017-01-06,3,1
15472,2017-01-06,EUR,False,False,2017-01-06,2017-01-06,47,6
7697,2017-01-06,EUR,False,False,2017-01-06,2017-01-06,5,3
