company,inventory,ds,yhat
0,8,2019-04-30,3.5348670876203285
0,8,2019-05-01,3.2532740122385015
0,8,2019-05-02,4.280244475254604
0,8,2019-05-03,2.759722732423594
0,8,2019-05-04,2.7712577745307483
0,8,2019-05-05,3.3132348703309513
0,8,2019-05-06,2.759308678900293
0,8,2019-05-07,2.893902865924276
0,8,2019-05-08,2.614175692058459
0,8,2019-05-09,3.6563322208051363
0,8,2019-05-10,2.1637331612918436
0,8,2019-05-11,2.2150761274034902
0,8,2019-05-12,2.807655362574085
0,8,2019-05-13,2.313827941958743
0,8,2019-05-14,2.5165503835124827
0,8,2019-05-15,2.3113840621729658
0,8,2019-05-16,3.432848961263148
0,8,2019-05-17,2.0225746547647416
0,8,2019-05-18,2.157523203006469
0,8,2019-05-19,2.8332889638741054
0,8,2019-05-20,2.4206023631394107
0,8,2019-05-21,2.7009006901295836
0,8,2019-05-22,2.5683635710960164
0,8,2019-05-23,3.7562920522168826
0,8,2019-05-24,2.4052797353959887
0,8,2019-05-25,2.5914503577142574
0,8,2019-05-26,3.309766686302859
0,8,2019-05-27,2.9305378011035383
0,8,2019-05-28,3.2349880128314727
0,8,2019-05-29,3.1172853913210608
0,8,2019-05-30,4.310909285645359
0,8,2019-05-31,2.9568058377063267
0,8,2019-06-01,3.1316065270886657
0,8,2019-06-02,3.8309153320630167
0,8,2019-06-03,3.4257923345830132
0,8,2019-06-04,3.698297790669641
0,8,2019-06-05,3.5434954096229974
0,8,2019-06-06,4.695794963846245
0,8,2019-06-07,3.2970839216005254
0,8,2019-06-08,3.4249237629343696
0,8,2019-06-09,4.075817101336521
0,8,2019-06-10,3.6216738790771195
0,8,2019-06-11,3.845340990406143
0,8,2019-06-12,3.642594295952453
0,8,2019-06-13,4.74847325452421
0,8,2019-06-14,3.3054078557544697
0,8,2019-06-15,3.391413396327417
0,8,2019-06-16,4.00335900508329
0,8,2019-06-17,3.5134378792384515
0,8,2019-06-18,3.7047032057589195
0,8,2019-06-19,3.4730682925390295
0,8,2019-06-20,4.553650656052298
0,8,2019-06-21,3.0889092464929595
0,8,2019-06-22,3.1568498465682007
0,8,2019-06-23,3.754304056633763
0,8,2019-06-24,3.2534093667761885
0,8,2019-06-25,3.4371538752139053
0,8,2019-06-26,3.201383823367908
0,8,2019-06-27,4.281153411914452
0,8,2019-06-28,2.818865876739433
0,8,2019-06-29,2.89248074503948
0,8,2019-06-30,3.4987926567591234
0,8,2019-07-01,3.0099093125737317
0,8,2019-07-02,3.2087922525235424
0,8,2019-07-03,2.9912588583400783
0,8,2019-07-04,4.092325334765903
0,8,2019-07-05,2.6543399970451933
0,8,2019-07-06,2.755182176605542
0,8,2019-07-07,3.391532550836595
0,8,2019-07-08,2.9353428919595723
0,8,2019-07-09,3.1693693699842864
0,8,2019-07-10,2.989168214672448
0,8,2019-07-11,4.129433869630727
0,8,2019-07-12,2.732129295204656
0,8,2019-07-13,2.874684001018264
0,8,2019-07-14,3.553265811974325
0,8,2019-07-15,3.139254481475307
0,8,2019-07-16,3.4147813213628075
0,8,2019-07-17,3.274733601197125
0,8,2019-07-18,4.453103711005612
0,8,2019-07-19,3.0911325221422725
